t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    TMax[K](6)        DTMax[mm](7)      DTMax/D[-](8)     OHMax[-](9)       DOHMax[mm](10)    DOHMax/D[-](11)    fvMax[-](12)      DfvMax[mm](13)    DfvMax/D[-](14)    
6.722000939e-05   1.307555878e-04   7.170220242e-01   5.141205832e-01   1.000061435e+00   1.543091047e+03   1.884428721e+00   2.628132271e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
6.864764573e-05   1.335326096e-04   7.170225658e-01   5.141213598e-01   1.000062946e+00   1.540724654e+03   1.867943524e+00   2.605139103e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
6.978975480e-05   1.357542270e-04   7.170229984e-01   5.141219802e-01   1.000064153e+00   1.538909668e+03   1.857211602e+00   2.590170199e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
7.125308206e-05   1.386006743e-04   7.170235518e-01   5.141227739e-01   1.000065697e+00   1.536684392e+03   1.844278551e+00   2.572131064e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
7.228811841e-05   1.406140151e-04   7.170239426e-01   5.141233342e-01   1.000066787e+00   1.535177204e+03   1.835671557e+00   2.560125887e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
7.485786383e-05   1.456126543e-04   7.170249109e-01   5.141247228e-01   1.000069488e+00   1.531665349e+03   1.816041544e+00   2.532745399e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
7.678517289e-05   1.493616337e-04   7.170256345e-01   5.141257605e-01   1.000071506e+00   1.529241096e+03   1.802747060e+00   2.514201688e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
7.871248195e-05   1.531106131e-04   7.170263564e-01   5.141267958e-01   1.000073520e+00   1.526985437e+03   1.790530892e+00   2.497161891e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
7.917646377e-05   1.540131451e-04   7.170265298e-01   5.141270445e-01   1.000074004e+00   1.526467438e+03   1.787728471e+00   2.493252895e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
7.971182739e-05   1.550545283e-04   7.170267298e-01   5.141273313e-01   1.000074562e+00   1.525881085e+03   1.784601359e+00   2.488890978e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
8.156775464e-05   1.586646566e-04   7.170274222e-01   5.141283241e-01   1.000076493e+00   1.523945661e+03   1.774115963e+00   2.474265151e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
8.206742736e-05   1.596366142e-04   7.170276081e-01   5.141285908e-01   1.000077012e+00   1.523450772e+03   1.771435444e+00   2.470526133e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
8.267417281e-05   1.608168485e-04   7.170278339e-01   5.141289147e-01   1.000077642e+00   1.522863004e+03   1.768250474e+00   2.466083450e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
8.381628188e-05   1.630384659e-04   7.170282583e-01   5.141295231e-01   1.000078825e+00   1.521798935e+03   1.762402224e+00   2.457925757e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
8.521715005e-05   1.657634185e-04   7.170287776e-01   5.141302679e-01   1.000080274e+00   1.520568216e+03   1.755519730e+00   2.448325346e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
8.547590913e-05   1.662667537e-04   7.170288734e-01   5.141304053e-01   1.000080541e+00   1.520349537e+03   1.754297365e+00   2.446620255e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
8.647525457e-05   1.682106689e-04   7.170292432e-01   5.141309355e-01   1.000081573e+00   1.519528421e+03   1.745819356e+00   2.434795196e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
8.840256364e-05   1.719596483e-04   7.170299546e-01   5.141319558e-01   1.000083557e+00   1.518062757e+03   1.740949240e+00   2.428000712e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
8.884870000e-05   1.728274676e-04   7.170301188e-01   5.141321912e-01   1.000084015e+00   1.517745428e+03   1.739036599e+00   2.425332707e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
8.941975453e-05   1.739382763e-04   7.170303292e-01   5.141324930e-01   1.000084602e+00   1.517348836e+03   1.736585779e+00   2.421913981e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
